         587,31         359,19         140,13         860,13         907,82
         472,11         486,16         823,10         273,09         898,58
         905,30         808,28         545,25         207,01           2,48
         116,82         451,22          73,44         925,21         426,73
         449,15         667,17         862,85         503,18         258,06
         264,70         769,92          10,99         924,64         445,62
         164,60         623,54         763,16         225,30         455,94
         388,85         497,76         261,40         887,41         361,21
         460,41         834,53         849,12         836,32         754,04
         648,50           7,46         137,74         876,80         621,04
